X	Y	Z
0.01	0.01	9.45058959962264
0.03	0.01	9.450904001490231
0.05	0.01	9.451218426399699
0.06999999999999999	0.01	9.451532874352981
0.09	0.01	9.451847345351991
0.11	0.01	9.452161839398668
0.13	0.01	9.452476356494923
0.15000000000000002	0.01	9.452790896642695
0.17	0.01	9.4531054598439
0.19	0.01	9.453420046100474
0.21000000000000002	0.01	9.453734655414337
0.23	0.01	9.454049287787418
0.25	0.01	9.454363943221646
0.27	0.01	9.454678621718937
0.29000000000000004	0.01	9.454993323281236
0.31	0.01	9.455308047910457
0.33	0.01	9.455622795608534
0.35000000000000003	0.01	9.455937566377393
0.37	0.01	9.456252360218969
0.39	0.01	9.456567177135177
0.41000000000000003	0.01	9.456882017127956
0.43	0.01	9.45719688019923
0.45	0.01	9.457511766350935
0.47000000000000003	0.01	9.457826675584995
0.49	0.01	9.458141607903334
0.51	0.01	9.458456563307895
0.53	0.01	9.458771541800594
0.55	0.01	9.459086543383371
0.5700000000000001	0.01	9.459401568058151
0.59	0.01	9.459716615826865
0.61	0.01	9.46003168669145
0.63	0.01	9.460346780653826
0.65	0.01	9.460661897715935
0.67	0.01	9.4609770378797
0.6900000000000001	0.01	9.461292201147057
0.7100000000000001	0.01	9.46160738751994
0.73	0.01	9.461922597000274
0.75	0.01	9.462237829589995
0.77	0.01	9.462553085291034
0.79	0.01	9.462868364105331
0.81	0.01	9.463183666034803
0.8300000000000001	0.01	9.463498991081398
0.85	0.01	9.463814339247048
0.87	0.01	9.464129710533676
0.89	0.01	9.464445104943222
0.91	0.01	9.46476052247762
0.93	0.01	9.465075963138803
0.9500000000000001	0.01	9.46539142692871
0.97	0.01	9.465706913849267
0.99	0.01	9.46602242390241
0.01	0.11	9.136447643905175
0.03	0.11	9.139732089955864
0.05	0.11	9.143019178754553
0.06999999999999999	0.11	9.146308912707497
0.09	0.11	9.149601294223729
0.11	0.11	9.152896325715075
0.13	0.11	9.15619400959614
0.15000000000000002	0.11	9.159494348284323
0.17	0.11	9.162797344199825
0.19	0.11	9.166102999765629
0.21000000000000002	0.11	9.169411317407546
0.23	0.11	9.17272229955417
0.25	0.11	9.17603594863692
0.27	0.11	9.179352267090035
0.29000000000000004	0.11	9.182671257350561
0.31	0.11	9.185992921858375
0.33	0.11	9.189317263056179
0.35000000000000003	0.11	9.192644283389516
0.37	0.11	9.19597398530675
0.39	0.11	9.199306371259098
0.41000000000000003	0.11	9.202641443700614
0.43	0.11	9.205979205088198
0.45	0.11	9.209319657881617
0.47000000000000003	0.11	9.212662804543479
0.49	0.11	9.216008647539255
0.51	0.11	9.219357189337291
0.53	0.11	9.222708432408792
0.55	0.11	9.226062379227837
0.5700000000000001	0.11	9.229419032271396
0.59	0.11	9.232778394019297
0.61	0.11	9.236140466954275
0.63	0.11	9.239505253561946
0.65	0.11	9.242872756330815
0.67	0.11	9.246242977752294
0.6900000000000001	0.11	9.249615920320695
0.7100000000000001	0.11	9.25299158653324
0.73	0.11	9.25636997889005
0.75	0.11	9.259751099894181
0.77	0.11	9.263134952051589
0.79	0.11	9.266521537871164
0.81	0.11	9.269910859864721
0.8300000000000001	0.11	9.27330292054701
0.85	0.11	9.27669772243572
0.87	0.11	9.280095268051468
0.89	0.11	9.283495559917833
0.91	0.11	9.286898600561331
0.93	0.11	9.290304392511436
0.9500000000000001	0.11	9.293712938300587
0.97	0.11	9.297124240464171
0.99	0.11	9.300538301540552
0.01	0.21000000000000002	8.834618151697974
0.03	0.21000000000000002	8.840572663189189
0.05	0.21000000000000002	8.846536306932586
0.06999999999999999	0.21000000000000002	8.852509098656153
0.09	0.21000000000000002	8.85849105412218
0.11	0.21000000000000002	8.864482189127372
0.13	0.21000000000000002	8.870482519502945
0.15000000000000002	0.21000000000000002	8.876492061114696
0.17	0.21000000000000002	8.882510829863126
0.19	0.21000000000000002	8.888538841683523
0.21000000000000002	0.21000000000000002	8.894576112546051
0.23	0.21000000000000002	8.900622658455843
0.25	0.21000000000000002	8.906678495453122
0.27	0.21000000000000002	8.912743639613254
0.29000000000000004	0.21000000000000002	8.918818107046896
0.31	0.21000000000000002	8.924901913900046
0.33	0.21000000000000002	8.93099507635416
0.35000000000000003	0.21000000000000002	8.937097610626255
0.37	0.21000000000000002	8.943209532969
0.39	0.21000000000000002	8.949330859670805
0.41000000000000003	0.21000000000000002	8.955461607055925
0.43	0.21000000000000002	8.961601791484574
0.45	0.21000000000000002	8.967751429353003
0.47000000000000003	0.21000000000000002	8.973910537093605
0.49	0.21000000000000002	8.980079131175016
0.51	0.21000000000000002	8.986257228102215
0.53	0.21000000000000002	8.992444844416628
0.55	0.21000000000000002	8.998641996696211
0.5700000000000001	0.21000000000000002	9.004848701555579
0.59	0.21000000000000002	9.011064975646082
0.61	0.21000000000000002	9.017290835655928
0.63	0.21000000000000002	9.023526298310257
0.65	0.21000000000000002	9.029771380371258
0.67	0.21000000000000002	9.036026098638292
0.6900000000000001	0.21000000000000002	9.042290469947964
0.7100000000000001	0.21000000000000002	9.048564511174233
0.73	0.21000000000000002	9.054848239228525
0.75	0.21000000000000002	9.061141671059826
0.77	0.21000000000000002	9.067444823654803
0.79	0.21000000000000002	9.07375771403789
0.81	0.21000000000000002	9.080080359271403
0.8300000000000001	0.21000000000000002	9.086412776455635
0.85	0.21000000000000002	9.092754982728982
0.87	0.21000000000000002	9.099106995268025
0.89	0.21000000000000002	9.105468831287654
0.91	0.21000000000000002	9.111840508041157
0.93	0.21000000000000002	9.118222042820358
0.9500000000000001	0.21000000000000002	9.124613452955693
0.97	0.21000000000000002	9.131014755816324
